2025-01-25_22:42:02 | Título capturado: Garena é condenada em R$ 6 mil por banir jogador brasileiro de Free Fire
2025-01-25_22:42:02 | Título capturado: Microsoft quer abraçar o mercado de jogos mobile com uma loja própria
2025-01-25_22:42:03 | Título capturado: Bungie está caçando cheaters de Destiny 2 após acordo de US$ 13,5 milhões
2025-01-25_22:42:03 | Título capturado: Project Rene pode ser The Sims 5: EA planeja um renascimento da franquia
2025-01-25_22:42:03 | Título capturado: The Sims 4 já está disponível de graça; veja como adquirir
2025-01-25_22:42:04 | Título capturado: Custando mais do que o Xbox Elite, DualSense Edge chegará no início de 2023
2025-01-25_22:42:04 | Título capturado: Jogos vão rodar mais rápido no Windows 10 e 11 com esta atualização da Microsoft
2025-01-25_22:42:05 | Título capturado: Nintendo vai vender jogos físicos para Switch no Brasil
2025-01-25_22:42:05 | Título capturado: Compra da Activision Blizzard pela Microsoft é aprovada no Brasil sem restrições
2025-01-25_22:42:05 | Título capturado: Com morte do Stadia, usuários tentam dar segunda vida ao joystick do serviço
2025-01-25_22:42:06 | Título capturado: A Microsoft precisou criar uma página para desmistificar a compra da Activision Blizzard
2025-01-25_22:42:06 | Título capturado: Ubisoft vai dar uma força para quem comprou seus games no Stadia
2025-01-25_22:42:06 | Título capturado: PlayStation 5 desbloqueado aparece em vídeo com opção para instalar jogos
2025-01-25_22:42:06 | Título capturado: Horizon Zero Dawn pode ganhar um remaster mais cedo do que esperávamos
2025-01-25_22:42:07 | Título capturado: PlayStation pode permitir que outros jogadores te ajudem a passar de fase
2025-01-25_22:42:07 | Título capturado: Google Stadia será encerrado em janeiro de 2023
2025-01-25_22:42:07 | Título capturado: Razer terá console portátil com 5G para você jogar online em qualquer lugar
2025-01-25_22:42:08 | Título capturado: Sony lança novo PS5 com AMD de 6 nm para consumir menos e não avisa ninguém
2025-01-25_22:42:08 | Título capturado: Modelo do PS5 com drive externo de disco deve substituir as versões atuais
2025-01-25_22:42:09 | Título capturado: Você não precisa mais da internet para jogar seus discos no Xbox Series X
2025-01-25_22:42:09 | Título capturado: Diablo IV tem mais de 40 minutos de gameplay vazados
2025-01-25_22:42:09 | Título capturado: Nintendo Switch OLED chega oficialmente ao Brasil no dia 26 de setembro
2025-01-25_22:42:10 | Título capturado: Hacker vaza 90 vídeos de GTA 6 e tenta extorquir Rockstar
2025-01-25_22:42:10 | Título capturado: The Sims 4 vai virar jogo grátis (você só precisa pagar pelos 57 DLCs)
